id,size,zeta_potential,concentration,composition,coating,toxicity,size_nm,zeta_potential_mv,source_sheet,Nanoparticle Category,Toxicity Classification,Nanoparticle Name,Nature of the particle (Organic/Inorganic),particle size (nm),Hydrodynamic size  (nm),Morphology,Polydispersity Index (PDI),Zeta potential (mV),Surface Area. (m2/g),Surface Chemistry,Energy band gap (eV),pH,Temperature,Dosage In vitro (993 missing values),Dosage in vivo (1577 missing values),Cell Viability %,Dissolution rate (mg/L),Necrosis %,Membrane Damage (%),ROS Production,LC50 Value,IC50/EC 50  value,LD50 Value,Exposure Time (in hrs),Target organism/cells,Reference Paper/s,Metabolic activity,Other relevant test,Category,Total Rows,Toxic Count,Non-toxic Count,Insufficient Data Count,Toxic %,LC50 Threshold (median),IC50 Threshold (median),Size_nm_count,Size_nm_min,Size_nm_max,Size_nm_mean,Size_nm_median,Hydro_size_nm_count,Hydro_size_nm_min,Hydro_size_nm_max,Hydro_size_nm_mean,Hydro_size_nm_median,PDI_count,PDI_min,PDI_max,PDI_mean,PDI_median,Zeta_mV_count,Zeta_mV_min,Zeta_mV_max,Zeta_mV_mean,Zeta_mV_median,Surface_area_count,Surface_area_min,Surface_area_max,Surface_area_mean,Surface_area_median,Band_gap_eV_count,Band_gap_eV_min,Band_gap_eV_max,Band_gap_eV_mean,Band_gap_eV_median,pH_val_count,pH_val_min,pH_val_max,pH_val_mean,pH_val_median,Viability_pct_count,Viability_pct_min,Viability_pct_max,Viability_pct_mean,Viability_pct_median,Dissolution_count,Dissolution_min,Dissolution_max,Dissolution_mean,Dissolution_median,Necrosis_pct_count,Necrosis_pct_min,Necrosis_pct_max,Necrosis_pct_mean,Necrosis_pct_median,Membrane_dmg_pct_count,Membrane_dmg_pct_min,Membrane_dmg_pct_max,Membrane_dmg_pct_mean,Membrane_dmg_pct_median,LC50_val_count,LC50_val_min,LC50_val_max,LC50_val_mean,LC50_val_median,IC50_val_count,IC50_val_min,IC50_val_max,IC50_val_mean,IC50_val_median,LD50_val_count,LD50_val_min,LD50_val_max,LD50_val_mean,LD50_val_median,Exposure_hrs_count,Exposure_hrs_min,Exposure_hrs_max,Exposure_hrs_mean,Exposure_hrs_median,Size_nm_toxic_mean,Size_nm_nontoxic_mean,Hydro_size_nm_toxic_mean,Hydro_size_nm_nontoxic_mean,PDI_toxic_mean,PDI_nontoxic_mean,Zeta_mV_toxic_mean,Zeta_mV_nontoxic_mean,Surface_area_toxic_mean,Surface_area_nontoxic_mean,Band_gap_eV_toxic_mean,Band_gap_eV_nontoxic_mean,pH_val_toxic_mean,pH_val_nontoxic_mean,Viability_pct_toxic_mean,Viability_pct_nontoxic_mean,Dissolution_toxic_mean,Dissolution_nontoxic_mean,Necrosis_pct_toxic_mean,Necrosis_pct_nontoxic_mean,Membrane_dmg_pct_toxic_mean,Membrane_dmg_pct_nontoxic_mean,LC50_val_toxic_mean,LC50_val_nontoxic_mean,IC50_val_toxic_mean,IC50_val_nontoxic_mean,LD50_val_toxic_mean,LD50_val_nontoxic_mean,Exposure_hrs_toxic_mean,Exposure_hrs_nontoxic_mean
2688,50–90 nm,−5.93,150 µL (for anti-bacterial well diffusion),Copper/Copper Oxide,Fungal biogenic reducing/capping agents (Colletotrichum gloeosporioides),Non-toxic,50.0,5.93,Classified Data,Copper/Copper Oxide,Non-toxic,Copper Nanoparticles (CuNPs),inorganic,50–90 nm,~141 nm,Disk-like/Spherical,0.425,−5.93,,Fungal biogenic reducing/capping agents (Colletotrichum gloeosporioides),,,37 °C,150 µL (for anti-bacterial well diffusion),,,,,,,,,,24 hours,Escherichia coli MTCC 443,10.1166/jnn.2019.15887,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2689,,,2.5–10 pM,Silver,"Glucose, Galactose, or Mannose",Toxic,,,Classified Data,Silver,Toxic,Glyco-silver nanoparticles,inorganic,,,,,,,"Glucose, Galactose, or Mannose",,,,2.5–10 pM,,,,,,Carbonyl formation as indirect marker,,,,,HepG2 and Neuro-2A cells,10.1186/ s12951-015-0114-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2690,100 nm,,"15, 30, and 60 mg/kg/day",Cerium Oxide,Suspended in deionized water,Toxic,100.0,,Classified Data,Cerium Oxide,Toxic,Cerium oxide nanoparticles (CeNPs),inorganic,100 nm,,,,,,Suspended in deionized water,,,22 ± 2 °C,,"15, 30, and 60 mg/kg/day",,,,,NO (µmol/mg protein): Control (121.7 ± 4.2); 15 mg/kg (83.6 ± 8.8); 30 mg/kg (159.4 ± 4.6); 60 mg/kg (215.8 ± 5.9). MDA (pmol/mg protein): Control (117.1 ± 7.14); 15 mg/kg (87.1 ± 6.15).,,,,7 days,Male Wistar rats,10.22038/nmj.2018.05.00009,,ALT (U/L): Control (118.5 ± 4.4); 15 mg/kg (87.2 ± 2.5); 30 mg/kg (112.8 ± 5.5); 60 mg/kg (120.8 ± 7.2). AST (U/L): Control (51.5 ± 3.5); 15 mg/kg (32.2 ± 2.2); 30 mg/kg (48.4 ± 3.6); 60 mg/kg (54.6 ± 3.8). TNF-α (pg/ml): Control (52.25 ± 4.9); 15 mg/kg (49.2 ± 2.3); 30 mg/kg (75.6 ± 3.2); 60 mg/kg (107.6 ± 3.2). IL-17 (pg/ml): Control (79.2 ± 7.2); 15 mg/kg (48.8 ± 4.7); 30 mg/kg (100.4 ± 5.3); 60 mg/kg (127.3 ± 11.8). TTM (mmol/mg protein): Control (0.98 ± 0.10); 60 mg/kg (0.72 ± 0.08).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2691,30–50 nm,,,Zinc,Purity >99.5%; sterile and endotoxin-free,Non-toxic,30.0,,Classified Data,Zinc,Non-toxic,Zinc Nanoparticles (ZnNP),inorganic,30–50 nm,,Aggregates (observed via TEM),,,,Purity >99.5%; sterile and endotoxin-free,,,,,,,,,,,,,,,,10.2217/nnm.16.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2692,Calculated by Scherrer equation: 67.28 nm. Range (SEM): 60–80 nm.,,"5, 10, and 15 ppm. (5 ppm showed the most significant increase in growth).",Iron Oxide,"Synthesized using Bacillus subtilis extract/supernatant. Functional groups/Capping agents: aldehyde, alkene, alcohol, phenol. Bacterial proteins or secondary metabolites, including hydroquinones.",Toxic,67.28,,Classified Data,Iron Oxide,Toxic,Biosynthesized Iron Oxide Nanoparticles (Fe3​O4​ NPs),inorganic,Calculated by Scherrer equation: 67.28 nm. Range (SEM): 60–80 nm.,,Spherical (SEM) and cubic spinel in structure (XRD).,,,,"Synthesized using Bacillus subtilis extract/supernatant. Functional groups/Capping agents: aldehyde, alkene, alcohol, phenol. Bacterial proteins or secondary metabolites, including hydroquinones.",,,,,"5, 10, and 15 ppm. (5 ppm showed the most significant increase in growth).",,,,,,,,,5 days (seed germination) and Two weeks (physiological parameters).,Rice (Oryza sativa L.) seedlings.,10.3390/toxics9010002.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2693,29 ± 3 nm,Negatively-charged,500 mg/kg/day,Zinc Oxide,Sodium citrate (capping agent); HEPES-citrate buffer (2% citrate),Non-toxic,29.0,,Classified Data,Zinc Oxide,Non-toxic,Zinc oxide (ZnO) nanoparticles,inorganic,29 ± 3 nm,,Spherical,,Negatively-charged,,Sodium citrate (capping agent); HEPES-citrate buffer (2% citrate),,7,22 ± 3°C,,500 mg/kg/day,,,,,,,,,90 days (treatment); 14 days (recovery period),Sprague-Dawley rats,10.5487/TR.2015.31.2.157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2694,50–300 nm (Mean: 186.24 ± 69.21 nm),,2.5 mg per well,Copper/Copper Oxide,Chitosan (capping/stabilizing agent),Toxic,50.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper nanoparticle (CuNP),inorganic,50–300 nm (Mean: 186.24 ± 69.21 nm),,Predominantly spherical,Polydispersed (no numerical value),,High (no numerical value),Chitosan (capping/stabilizing agent),,7.3 ± 0.2 (agar); 8.0 (NP solution),37°C,2.5 mg per well,,"Inhibition Rate: BS(99.65%), MRSA(99.65%), PA(99.65%), SC(99.65%), CA(82.75%)",,,,,,,,24 hours,"BS, MRSA, PA, SC, CA",10.2147/IJN.S50837,"Synthesis, characterization, and antimicrobial properties of copper nanoparticles",Growth inhibition (OD600) observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2695,50–270 nm (Mean: 161.21 ± 37.93 nm),,2.5 mg per well,Copper/Copper Oxide,Chitosan (capping/stabilizing agent),Toxic,50.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper nanoparticle (CuNP),inorganic,50–270 nm (Mean: 161.21 ± 37.93 nm),,"Spherical, rod-shaped, or cylindrical",Polydispersed (no numerical value),,High (no numerical value),Chitosan (capping/stabilizing agent),,7.3 ± 0.2 (agar); 8.0 (NP solution),37°C,2.5 mg per well,,"Inhibition Rate: BS(99.65%), MRSA(99.65%), PA(99.65%), SC(99.65%), CA(82.2%)",,,,,,,,24 hours,"BS, MRSA, PA, SC, CA",10.2147/IJN.S50837,"Synthesis, characterization, and antimicrobial properties of copper nanoparticles",Growth inhibition (OD600) observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2696,5–50 nm (Mean: 18.29 ± 7.75 nm),,2.5 mg per well,Copper/Copper Oxide,Chitosan (capping/stabilizing agent),Toxic,5.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper nanoparticle (CuNP),inorganic,5–50 nm (Mean: 18.29 ± 7.75 nm),,Predominantly spherical,Polydispersed (no numerical value),,High (no numerical value),Chitosan (capping/stabilizing agent),,7.3 ± 0.2 (agar); 8.0 (NP solution),37°C,2.5 mg per well,,"Inhibition Rate: BS(95.17%), MRSA(82.2%), PA(58.62%), SC(88.27%), CA(81.37%)",,,,,,,,24 hours,"BS, MRSA, PA, SC, CA",10.2147/IJN.S50837,"Synthesis, characterization, and antimicrobial properties of copper nanoparticles",Growth inhibition (OD600) observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2697,2–70 nm (Mean: 9.61 ± 11.90 nm),,2.5 mg per well,Copper/Copper Oxide,Chitosan (capping/stabilizing agent),Toxic,2.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper nanoparticle (CuNP),inorganic,2–70 nm (Mean: 9.61 ± 11.90 nm),,Predominantly spherical,Polydispersed (no numerical value),,High (no numerical value),Chitosan (capping/stabilizing agent),,7.3 ± 0.2 (agar); 8.0 (NP solution),37°C,2.5 mg per well,,"Inhibition Rate: BS(34.48%), MRSA(77.58%), PA(31.03%), SC(79.31%), CA(65.86%)",,,,,,,,24 hours,"BS, MRSA, PA, SC, CA",10.2147/IJN.S50837,"Synthesis, characterization, and antimicrobial properties of copper nanoparticles",Growth inhibition (OD600) observed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2698,23.5 nm (average diameter),,"1 mg/kg, 10 mg/kg, and 40 mg/kg body weight",Copper/Copper Oxide,NA (Dispersed in Milli-Q ultra pure water),Toxic,23.5,,Classified Data,Copper/Copper Oxide,Toxic,Copper nanoparticles (Cu NPs),inorganic,23.5 nm (average diameter),,,,,2.95×105 cm2/g,NA (Dispersed in Milli-Q ultra pure water),,NA (In vivo); 5.0 (Artificial nasal cavity fluid) and 7.4 (Cerebrospinal fluid) for dissolution study,20±2∘C (Animal housing); 37∘C (In vitro dissolution),,"1 mg/kg, 10 mg/kg, and 40 mg/kg body weight",,~0.05% in artificial nasal fluid and ~0.4% in cerebrospinal fluid after 7 days,,,,,,413 mg/kg body weight,15 days and 21 days,Mouse (CD-1 (ICR) female),10.3109/17435390.2011.590906,The dose-dependent toxicological effects and potential perturbation on the neurotransmitter secretion in brain following intranasal instillation of copper nanoparticles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2699,50 nm,,250 mg/kg,Copper/Copper Oxide,Dry powder; elemental Cu and O,Toxic,50.0,,Classified Data,Copper/Copper Oxide,Toxic,Copper oxide nanoparticles (CuO-NPs),inorganic,50 nm,,Spherical,,,,Dry powder; elemental Cu and O,,,25 °C (Housing); 23 °C ± 0.5 °C (Water maze),,250 mg/kg,0% mortality (rats),,,,,,,,14 consecutive days,Male Wistar rats,10.1080/19338244.2019.1689376,Toxicity and effects of copper oxide nanoparticles on cognitive performances in rats,Glucose: 0.91 g/l; Creatinine: 24 mg/l; Protein: 57.88 g/l; Triglyceride: 0.92 mmol/l; Cholesterol: 0.61 g/l; Calcium: 88.89 mg/l; Magnesium: 22.52 mg/l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2700,median 30.0 nm; range 11.4-103.0 nm,12.41 mV,,Aluminum/Alumina,,"Toxic % 53.3; Toxic: 8, Non-toxic: 7",30.0,12.41,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aluminum/Alumina,17.0,8.0,7.0,2.0,53.3,,,17.0,11.4,103.0,43.7764705882353,30.0,5.0,30.0,930.0,289.64,95.0,0.0,,,,,3.0,7.75,39.2,19.78666666666667,12.41,4.0,40.0,134.0,83.825,80.65,0.0,,,,,4.0,5.9,7.63,6.9825,7.2,8.0,12.0,100.0,57.54625,50.5,2.0,0.42,0.5,0.46,0.46,0.0,,,,,3.0,50.0,51.0,50.33333333333334,50.0,0.0,,,,,0.0,,,,,1.0,326.1,326.1,326.1,326.1,16.0,2.0,96.0,33.375,24.0,47.15000000000001,43.34285714285714,196.6,512.5,,,12.41,23.475,62.5,134.0,,,7.0,6.976666666666667,40.75,74.3425,0.5,0.42,,,50.33333333333334,,,,,,,326.1,25.5,32.5
2701,median 20.5 nm; range 20.5-20.5 nm,-24.3 mV,,Antimony Oxide,,"Toxic % 0.0; Toxic: 0, Non-toxic: 1",20.5,-24.3,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Antimony Oxide,1.0,0.0,1.0,0.0,0.0,,,1.0,20.5,20.5,20.5,20.5,1.0,125.0,125.0,125.0,125.0,0.0,,,,,1.0,-24.3,-24.3,-24.3,-24.3,1.0,56.0,56.0,56.0,56.0,0.0,,,,,1.0,4.2,4.2,4.2,4.2,1.0,50.0,50.0,50.0,50.0,1.0,21.2,21.2,21.2,21.2,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,30.0,30.0,30.0,30.0,,20.5,,125.0,,,,-24.3,,56.0,,,,4.2,,50.0,,21.2,,,,,,,,,,,,30.0
2702,category summary,category summary,,Barium Sulfate,,"Toxic % 100.0; Toxic: 2, Non-toxic: 0",,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barium Sulfate,2.0,2.0,0.0,0.0,100.0,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,28.0,28.0,28.0,28.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,28.0,
2703,median 1296.0 nm; range 1296.0-1296.0 nm,category summary,,Biochar,,"Toxic % 0.0; Toxic: 0, Non-toxic: 0",1296.0,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biochar,1.0,0.0,0.0,1.0,0.0,,,1.0,1296.0,1296.0,1296.0,1296.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,48.58,48.58,48.58,48.58,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2704,median 100.0 nm; range 100.0-100.0 nm,-28.54 mV,,Boron,,"Toxic % 0.0; Toxic: 0, Non-toxic: 0",100.0,-28.54,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Boron,2.0,0.0,0.0,2.0,0.0,,,2.0,100.0,100.0,100.0,100.0,1.0,50.0,50.0,50.0,50.0,2.0,0.237,0.237,0.237,0.237,2.0,-28.54,-28.54,-28.54,-28.54,0.0,,,,,0.0,,,,,2.0,6.0,7.05,6.525,6.525,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,2.0,16.0,30.0,23.0,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2705,median 22.0 nm; range 22.0-22.0 nm,category summary,,Cadmium,,"Toxic % 0.0; Toxic: 0, Non-toxic: 1",22.0,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cadmium,1.0,0.0,1.0,0.0,0.0,,,1.0,22.0,22.0,22.0,22.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,7.5,7.5,7.5,7.5,1.0,50.0,50.0,50.0,50.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,24.0,24.0,24.0,24.0,,22.0,,,,,,,,,,,,7.5,,50.0,,,,,,,,,,,,,,24.0
2706,median 38.16 nm; range 38.16-38.16 nm,category summary,,Calcium Oxide,,"Toxic % 100.0; Toxic: 1, Non-toxic: 0",38.16,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium Oxide,1.0,1.0,0.0,0.0,100.0,,16.0,1.0,38.16,38.16,38.16,38.16,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,16.0,16.0,16.0,16.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,16.0,16.0,16.0,16.0,0.0,,,,,1.0,24.0,24.0,24.0,24.0,38.16,,,,,,,,,,,,,,16.0,,,,,,,,,,16.0,,,,24.0,
2707,median 0.22 nm; range 0.22-0.22 nm,category summary,,Carbon (Other),,"Toxic % 100.0; Toxic: 4, Non-toxic: 0",0.22,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon (Other),5.0,4.0,0.0,1.0,100.0,,,4.0,0.22,0.22,0.22,0.22,0.0,,,,,0.0,,,,,0.0,,,,,1.0,300.0,300.0,300.0,300.0,0.0,,,,,4.0,7.4,7.4,7.4,7.4,4.0,16.0,54.0,33.25,31.5,0.0,,,,,0.0,,,,,4.0,16.0,54.0,33.25,31.5,0.0,,,,,0.0,,,,,0.0,,,,,5.0,3.0,24.0,7.2,3.0,0.22,,,,,,,,,,,,7.4,,33.25,,,,,,33.25,,,,,,,,3.0,
2708,median 4.0 nm; range 2.0-5.0 nm,-10.7 mV,,Carbon Dot,,"Toxic % 72.7; Toxic: 8, Non-toxic: 3",4.0,-10.7,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon Dot,12.0,8.0,3.0,1.0,72.7,50.0,300.0,10.0,2.0,5.0,3.9,4.0,1.0,3.1,3.1,3.1,3.1,0.0,,,,,6.0,-28.0,-6.0,-14.9,-10.7,0.0,,,,,2.0,2.0,4.2,3.1,3.1,8.0,7.0,7.4,7.300000000000001,7.4,9.0,18.0,76.0,28.0,25.0,0.0,,,,,0.0,,,,,0.0,,,,,1.0,50.0,50.0,50.0,50.0,6.0,50.0,300.0,216.6666666666667,300.0,0.0,,,,,10.0,1.0,24.0,17.7,24.0,4.25,2.5,,3.1,,,-14.9,,,,,2.0,7.399999999999999,7.0,22.0,76.0,,,,,,,,50.0,216.6666666666667,,,,18.25,15.5
2709,median 22.17 nm; range 1.0-102.0 nm,12.9 mV,,Carbon Nanotube,,"Toxic % 55.6; Toxic: 5, Non-toxic: 4",22.17,12.9,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carbon Nanotube,10.0,5.0,4.0,1.0,55.6,,,9.0,1.0,102.0,44.59333333333333,22.17,1.0,112.9,112.9,112.9,112.9,0.0,,,,,1.0,12.9,12.9,12.9,12.9,2.0,225.0,808.3,516.65,516.65,0.0,,,,,3.0,7.0,7.4,7.266666666666667,7.4,3.0,93.3,100.0,97.76666666666667,100.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,8.0,5.0,28.0,13.5,7.0,78.0,20.835,112.9,,,,12.9,,808.3,,,,,7.266666666666667,,97.76666666666667,,,,,,,,,,,,,6.75,25.33333333333333
2710,median 19.0 nm; range 3.0-35.0 nm,category summary,,Cellulose,,"Toxic % 20.0; Toxic: 1, Non-toxic: 4",19.0,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cellulose,5.0,1.0,4.0,0.0,20.0,,,2.0,3.0,35.0,19.0,19.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,7.0,7.0,7.0,7.0,5.0,0.0,375.0,243.8,375.0,1.0,16.0,16.0,16.0,16.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,5.0,14.0,24.0,22.0,24.0,35.0,3.0,,,,,,,,,,,,7.0,0.0,304.75,16.0,,,,,,,,,,,,14.0,24.0
2711,median 10.0 nm; range 2.0-100.0 nm,-3.54 mV,,Cerium Oxide,,"Toxic % 48.1; Toxic: 25, Non-toxic: 27",10.0,-3.54,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cerium Oxide,72.0,25.0,27.0,20.0,48.1,0.635,64.0,64.0,2.0,100.0,14.2121875,10.0,43.0,5.0,4000.0,610.0293023255814,200.0,6.0,0.129,0.584,0.3833333333333333,0.472,31.0,-32.1,38.8,-1.564193548387096,-3.54,17.0,0.7,222.0,53.8235294117647,30.0,6.0,3.2,3.2,3.2,3.2,33.0,5.5,8.1,7.40969696969697,7.82,24.0,0.0,100.0,54.19,78.0,24.0,0.003,8.0,4.371916666666666,5.1,0.0,,,,,7.0,0.0,24.0,7.285714285714286,1.0,6.0,0.012,80.0,13.75866666666667,0.635,17.0,5.5,1994.0,172.4235294117647,64.0,0.0,,,,,70.0,1.0,190.0,43.2,24.0,9.259,13.608,650.1199999999999,542.84,0.5105,,-7.516666666666667,-3.326666666666666,86.85714285714286,31.37142857142857,,3.2,7.654545454545453,7.518750000000001,24.78461538461539,88.94181818181818,2.21075,6.315555555555556,,,12.0,1.0,0.184,27.33333333333333,45.55,285.2,,,43.08,37.92592592592592
2712,median 100.0 nm; range 100.0-100.0 nm,category summary,,Chitosan,,"Toxic % 0.0; Toxic: 0, Non-toxic: 1",100.0,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chitosan,1.0,0.0,1.0,0.0,0.0,,,1.0,100.0,100.0,100.0,100.0,0.0,,,,,1.0,0.7,0.7,0.7,0.7,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,200.0,200.0,200.0,200.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,1.0,96.0,96.0,96.0,96.0,,100.0,,,,0.7,,,,,,,,,,200.0,,,,,,,,,,,,,,96.0
2713,median 50.0 nm; range 4.0-300.0 nm,-25.0 mV,,Clay,,"Toxic % 0.0; Toxic: 0, Non-toxic: 3",50.0,-25.0,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clay,3.0,0.0,3.0,0.0,0.0,,,3.0,4.0,300.0,118.0,50.0,3.0,510.0,3040.0,1493.333333333333,930.0,0.0,,,,,3.0,-36.0,44.0,-5.666666666666667,-25.0,0.0,,,,,0.0,,,,,3.0,7.5,7.5,7.5,7.5,3.0,51.0,94.0,75.66666666666667,82.0,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,3.0,10.0,10.0,10.0,10.0,,118.0,,1493.333333333333,,,,-5.666666666666667,,,,,,7.5,,75.66666666666667,,,,,,,,,,,,,,10.0
2714,median 20.0 nm; range 1.0-100.0 nm,9.7 mV,,Cobalt,,"Toxic % 42.9; Toxic: 9, Non-toxic: 12",20.0,9.7,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cobalt,24.0,9.0,12.0,3.0,42.9,35.06,49.25,24.0,1.0,100.0,32.20416666666667,20.0,10.0,32.0,500.0,183.1,100.0,0.0,,,,,6.0,-7.7,34.58,10.26333333333333,9.7,5.0,14.4,85.0,34.76000000000001,30.0,0.0,,,,,10.0,5.9,7.4,7.090000000000001,7.2,16.0,-7.0,937.0,155.75,45.5,8.0,0.18,100.0,32.83125,15.35,0.0,,,,,0.0,,,,,1.0,35.06,35.06,35.06,35.06,8.0,-7.0,116.0,51.875,49.25,0.0,,,,,20.0,2.0,96.0,29.35,24.0,26.53333333333333,38.85833333333333,100.0,209.9,,,9.7,28.79,14.4,48.33333333333334,,,7.266666666666667,6.65,19.75,291.75,62.35,3.3125,,,,,,35.06,30.5,116.0,,,10.66666666666667,38.45454545454545
2715,median 9.67 nm; range 6.1-20.95 nm,category summary,,Composite,,"Toxic % 75.0; Toxic: 3, Non-toxic: 1",9.67,,Thresholds by Category,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Composite,4.0,3.0,1.0,0.0,75.0,40.2217,230.4,4.0,6.1,20.95,11.5975,9.67,0.0,,,,,0.0,,,,,0.0,,,,,0.0,,,,,4.0,1.54,1.77,1.625,1.595,0.0,,,,,4.0,24.63,59.03,43.23,44.63,0.0,,,,,0.0,,,,,0.0,,,,,4.0,18.3234,118.295,54.26545,40.2217,2.0,221.74,239.06,230.4,230.4,0.0,,,,,4.0,24.0,24.0,24.0,24.0,8.479999999999999,20.95,,,,,,,,,1.633333333333334,1.6,,,37.96333333333333,59.03,,,,,,,32.92226666666667,118.295,230.4,,,,24.0,24.0
